race,group,terrain,manufactured,floorMult,tractionFloor,creatureSpeed,barefoot,totalMult,baseTicks,moddedTicks,ratio
Human,Humanlike_Medium,Soil,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,SoilRich,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,Gravel,no,1.000,1.000,1.000,0.880,0.880,13.0,14.8,1.136
Human,Humanlike_Medium,Sand,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,SoftSand,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,Mud,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,Ice,no,1.000,1.000,1.000,0.900,0.900,13.0,14.5,1.111
Human,Humanlike_Medium,Riverbank,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,13.0,13.0,1.000
Human,Humanlike_Medium,BrokenAsphalt,no,1.000,1.000,1.000,0.920,0.920,13.0,14.2,1.087
Human,Humanlike_Medium,Sandstone_Rough,no,1.000,1.000,1.000,0.850,0.850,13.0,15.3,1.176
Human,Humanlike_Medium,Sandstone_RoughHewn,no,1.000,1.000,1.000,0.850,0.850,13.0,15.3,1.176
Human,Humanlike_Medium,Sandstone_Smooth,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,StrawMatting,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,WoodPlankFloor,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,Concrete,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,PavedTile,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,TileSandstone,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,FlagstoneSandstone,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,MetalTile,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,SilverTile,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,SterileTile,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
Human,Humanlike_Medium,Bridge,yes,1.150,1.150,1.000,1.000,1.150,13.0,11.3,0.870
GuineaPig,Padded_Small,Soil,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,SoilRich,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,MossyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Gravel,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Sand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,SoftSand,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Mud,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,MarshyTerrain,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Ice,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Riverbank,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,PackedDirt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,BrokenAsphalt,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Sandstone_Rough,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Sandstone_RoughHewn,no,1.000,1.000,1.000,1.000,1.000,12.0,12.0,1.000
GuineaPig,Padded_Small,Sandstone_Smooth,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,StrawMatting,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
GuineaPig,Padded_Small,WoodPlankFloor,yes,1.150,0.888,1.000,1.000,0.888,12.0,13.5,1.127
